sexual_orientation,sexual_orientation_description
Asexual,Not sexually attracted to anyone.
Aromantic,Not romantically attracted to anyone.
Straight,Attracted to the sex/gender opposite their own on the spectrum.
Demisexual,"Doesn't experience sexual attraction to someone unless they have a deep, emotional connection with them."
Gay,Describes a man whose sexual orientation is primarily geared towards other men.
Lesbian,Describes a woman whose sexual orientation is primarily geared towards other women.
Bisexual,Attracted to more than one gender or gender identity.
Pansexual,"Attracted to the person rather than their sex, gender, or gender identity."
